name,pos,height,weight,wonderlic,40yd,benchpress,vertleap,broadjump,shuttle,3cone
Trevin Wade,CB,70.0,192.0,,4.52,18.0,34.5,116.0,4.0,6.87
Dustin Waldron,OT,77.0,305.0,,5.23,29.0,26.0,103.0,4.75,7.93
Brandon Washington,OG,75.0,320.0,,5.14,28.0,25.0,101.0,4.87,8.22
Corey White,SS,73.0,206.0,,4.53,15.0,37.5,126.0,4.22,6.72
Jordan White,WR,73.0,208.0,,4.63,14.0,35.0,119.0,4.13,6.84
Tahir Whitehead,OLB,73.0,233.0,,4.62,21.0,37.0,124.0,4.37,7.14
Kyle Wilber,OLB,76.0,249.0,,4.73,25.0,33.5,117.0,4.31,7.11
Billy Winn,DE,76.0,294.0,,4.86,24.0,27.0,107.0,4.44,7.37
Derek Wolfe,DT,77.0,295.0,,4.93,33.0,33.5,108.0,4.44,7.26
Jarius Wright,WR,70.0,182.0,,4.39,11.0,38.0,120.0,4.03,6.93
Patrick Witt,QB,76.0,225.0,,5.08,0.0,31.5,101.0,4.37,7.14
Kevin Zeitler,OG,76.0,314.0,,5.32,32.0,29.0,101.0,4.61,7.77
Sam Acho,OLB,74.0,262.0,,4.67,23.0,33.5,112.0,4.32,6.69
Olufemi Ajiboye,DT,73.0,297.0,,5.31,23.0,24.0,91.0,4.71,7.72
Anthony Allen,RB,73.0,228.0,,4.56,24.0,41.5,120.0,4.06,6.79
Cortez Allen,CB,73.0,197.0,,4.5,18.0,35.5,129.0,4.01,6.76
Prince Amukamara,CB,73.0,206.0,,4.38,15.0,38.0,128.0,4.08,6.97
David Arkin,OG,77.0,300.0,,5.31,25.0,29.0,103.0,4.63,7.6
Matt Asiata,RB,71.0,229.0,,4.77,22.0,30.0,104.0,4.37,7.09
Marvin Austin,DT,74.0,309.0,,4.84,38.0,30.5,112.0,4.4,7.33
Akeem Ayers,OLB,75.0,254.0,,4.81,18.0,31.0,116.0,4.28,7.49
Allen Bailey,DE,75.0,285.0,,4.71,27.0,36.5,117.0,4.56,7.43
Brandon Bair,DE,78.0,276.0,,4.92,26.0,28.0,114.0,4.37,7.07
Jon Baldwin,WR,76.0,228.0,14.0,4.49,20.0,42.0,129.0,4.34,7.07
Joseph Barksdale,OT,77.0,325.0,,5.31,29.0,29.0,103.0,4.75,8.27
Ryan Bartholomew,C,73.0,302.0,,4.93,34.0,26.5,92.0,4.62,7.62
Jeremy Beal,ILB,74.0,262.0,,5.14,22.0,28.5,106.0,4.46,7.2
Nick Bellore,ILB,73.0,245.0,,4.84,23.0,32.5,109.0,4.0,6.98
Damien Berry,RB,70.0,211.0,,4.58,23.0,33.5,120.0,4.12,7.0
Armon Binns,WR,75.0,209.0,,4.5,13.0,31.5,118.0,4.31,6.86
Ahmad Black,SS,70.0,184.0,,4.7,18.0,35.5,119.0,4.2,6.85
Clint Boling,OG,77.0,308.0,,5.28,28.0,31.0,102.0,4.64,7.66
Allen Bradford,RB,71.0,242.0,,4.53,28.0,29.0,113.0,4.39,6.97
James Brewer,OT,78.0,323.0,,5.21,25.0,26.0,100.0,4.81,7.84
Curtis Brown,CB,73.0,185.0,,4.51,10.0,39.5,128.0,4.0,6.59
DeAndre Brown,WR,78.0,233.0,,4.59,20.0,29.0,117.0,4.33,6.93
Jalil Brown,CB,73.0,204.0,,4.52,24.0,35.5,116.0,4.25,6.85
Vincent Brown,WR,71.0,187.0,,4.68,12.0,33.5,121.0,4.25,6.64
